tag,rank,region
Zomba,1,NYC
Mr. E,2,NYC
GuyGuy,3,NYC
Fawn,4,NYC
PkChris,5,NYC
John Numbers,6,NYC
Sho,7,NYC
Quidd,8,NYC
Gen,9,NYC
Meli,10,NYC
Cee,11,NYC
Cody,12,NYC
Vivi,13,NYC
LRA_START,14,NYC
Shon,15,NYC
Juice,1,Philly
Mercury,2,Philly
Jon,3,Philly
Beast,4,Philly
Yoda Cage,5,Philly
DTP,6,Philly
Alo!,7,Philly
Dovidio,8,Philly
SAUCE,9,Philly
BONK!,10,Philly
BlassTD,11,Philly
Conman,12,Philly
Archangel,13,Philly
Yellow,14,Philly
Kenoca,15,Philly
MPG,0,Philly
Light,1,New England
Ling,2,New England
naitosharp,3,New England
Antimony,4,New England
Apple Reviewer,5,New England
Pelca,6,New England
BlitzLuigy,7,New England
Nuggetz,8,New England
DM,9,New England
Doucette,10,New England
Unleashed,11,New England
Bruho,12,New England
Tyler,13,New England
Scot,14,New England
Mega,15,New England
GRIT,5,CT
ZekeReds,6,CT
Tony Pajamas,8,CT
TheActuary,9,CT
Moat,10,CT
Vidad,9,Mass
yosi,10,Mass
Just Blue,11,Mass
Exciled,12,Mass
Dolan,13,Mass
Robber,14,Mass
Mr. B,15,Mass
Oolong,1,MDVA
smub,2,MDVA
Dexter,3,MDVA
SlushieV2,4,MDVA
SLASHY,5,MDVA
Mata-Door,7,MDVA
Alternis,8,MDVA
Willy,9,MDVA
Towa,10,MDVA
fastcree,11,MDVA
Squidplumber,12,MDVA
Seagull Joe,13,MDVA
KBean,14,MDVA
KingRoBo,15,MDVA
